,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Cormorant,1,Snug Cove Marina,Tunstall Bay Dock,10.0,29.92,29.92,32.92,25.0,0,None
1,2,Cormorant,2,Tunstall Bay Dock,Gibsons Harbor,32.92,47.92,47.92,50.92,20.0,12,Tunstall Bay
2,3,Cormorant,3,Gibsons Harbor,Bowen Bay Beach,50.92,61.96,61.96,64.96000000000001,20.0,0,None
3,4,Cormorant,4,Bowen Bay Beach,Gibsons Harbor,64.96000000000001,78.76,78.76,81.76,20.0,12,Bowen Bay
4,5,Cormorant,5,Gibsons Harbor,Bowen Bay Marina,81.76,92.80000000000001,92.80000000000001,95.80000000000001,20.0,0,None
5,6,Cormorant,6,Bowen Bay Marina,Gibsons Harbor,95.80000000000001,109.60000000000001,109.60000000000001,112.60000000000001,20.0,12,Bowen Bay
6,7,Cormorant,7,Gibsons Harbor,Bowen Bay Marina,112.60000000000001,123.64000000000001,123.64000000000001,126.64000000000001,20.0,0,None
7,8,Cormorant,8,Bowen Bay Marina,Gibsons Harbor,126.64000000000001,140.44000000000003,140.44000000000003,143.44000000000003,20.0,12,Bowen Bay
8,9,Cormorant,9,Gibsons Harbor,Bowen Bay Marina,143.44000000000003,154.48000000000002,154.48000000000002,157.48000000000002,20.0,0,None
9,10,Cormorant,10,Bowen Bay Marina,Gibsons Harbor,157.48000000000002,171.28000000000003,171.28000000000003,174.28000000000003,20.0,12,Bowen Bay
10,11,Cormorant,11,Gibsons Harbor,Bowen Bay Marina,174.28000000000003,185.32000000000002,185.32000000000002,188.32000000000002,20.0,0,None
11,12,Cormorant,12,Bowen Bay Marina,Gibsons Harbor,188.32000000000002,202.12000000000003,202.12000000000003,205.12000000000003,20.0,12,Bowen Bay
12,13,Cormorant,13,Gibsons Harbor,Bowen Bay Beach,205.12000000000003,216.16000000000003,216.16000000000003,219.16000000000003,20.0,0,None
13,14,Cormorant,14,Bowen Bay Beach,Gibsons Harbor,219.16000000000003,232.96000000000004,232.96000000000004,235.96000000000004,20.0,12,Bowen Bay
14,15,Cormorant,15,Gibsons Harbor,Bowen Bay Marina,235.96000000000004,247.00000000000003,247.00000000000003,250.00000000000003,20.0,0,None
15,16,Cormorant,16,Bowen Bay Marina,Gibsons Harbor,250.00000000000003,263.8,263.8,266.8,20.0,12,Bowen Bay
16,17,Cormorant,17,Gibsons Harbor,Bowen Bay Beach,266.8,277.84000000000003,277.84000000000003,280.84000000000003,20.0,0,None
17,18,Cormorant,18,Bowen Bay Beach,Gibsons Harbor,280.84000000000003,294.64000000000004,294.64000000000004,297.64000000000004,20.0,12,Bowen Bay
18,19,Cormorant,19,Gibsons Harbor,Bowen Bay Marina,297.64000000000004,308.68000000000006,308.68000000000006,311.68000000000006,20.0,0,None
19,20,Cormorant,20,Bowen Bay Marina,Gibsons Harbor,311.68000000000006,325.4800000000001,325.4800000000001,328.4800000000001,20.0,12,Bowen Bay
20,21,Cormorant,21,Gibsons Harbor,Bowen Bay Marina,328.4800000000001,339.5200000000001,339.5200000000001,342.5200000000001,20.0,0,None
21,22,Cormorant,22,Bowen Bay Marina,Gibsons Harbor,342.5200000000001,356.3200000000001,356.3200000000001,359.3200000000001,20.0,12,Bowen Bay
22,23,Cormorant,23,Gibsons Harbor,Bowen Bay Beach,359.3200000000001,370.3600000000001,370.3600000000001,373.3600000000001,20.0,0,None
23,24,Cormorant,24,Bowen Bay Beach,Gibsons Harbor,373.3600000000001,387.16000000000014,387.16000000000014,390.16000000000014,20.0,12,Bowen Bay
24,25,Cormorant,25,Gibsons Harbor,Bowen Bay Beach,390.16000000000014,401.20000000000016,401.20000000000016,404.20000000000016,20.0,0,None
25,26,Cormorant,26,Bowen Bay Beach,Gibsons Harbor,404.20000000000016,418.00000000000017,418.00000000000017,421.00000000000017,20.0,12,Bowen Bay
26,27,Cormorant,27,Gibsons Harbor,Bowen Bay Beach,421.00000000000017,432.0400000000002,432.0400000000002,435.0400000000002,20.0,0,None
27,28,Cormorant,28,Bowen Bay Beach,Gibsons Harbor,435.0400000000002,448.8400000000002,448.8400000000002,451.8400000000002,20.0,12,Bowen Bay
28,29,Cormorant,29,Gibsons Harbor,Bowen Bay Beach,451.8400000000002,462.8800000000002,462.8800000000002,465.8800000000002,20.0,0,None
29,30,Cormorant,30,Bowen Bay Beach,Gibsons Harbor,465.8800000000002,479.68000000000023,479.68000000000023,482.68000000000023,20.0,12,Bowen Bay
30,31,Cormorant,31,Gibsons Harbor,Bowen Bay Marina,482.68000000000023,493.72000000000025,493.72000000000025,496.72000000000025,20.0,0,None
31,32,Cormorant,32,Bowen Bay Marina,Gibsons Harbor,496.72000000000025,510.52000000000027,510.52000000000027,513.5200000000002,20.0,12,Bowen Bay
32,1,Apodaca,1,Snug Cove Marina,Tunstall Bay Dock,10.0,29.92,29.92,34.92,25.0,0,None
