,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Queen of Capilano,1,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,10.0,24.0,24.0,34.0,12.0,0,None
1,2,Queen of Capilano,2,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,34.0,48.0,48.0,58.0,12.0,457,Snug Cove
2,3,Queen of Capilano,3,Horseshoe Bay Terminal,Snug Cove Ferry Terminal,58.0,72.0,72.0,82.0,12.0,0,None
3,4,Queen of Capilano,4,Snug Cove Ferry Terminal,Horseshoe Bay Terminal,82.0,96.0,96.0,106.0,12.0,457,Snug Cove
4,1,Cormorant,1,Snug Cove Marina,Snug Cove Marina,10.0,10.0,10.0,13.0,25.0,0,None
5,2,Cormorant,2,Snug Cove Marina,Horseshoe Bay Terminal,13.0,21.4,21.4,24.4,20.0,12,Snug Cove
6,3,Cormorant,3,Horseshoe Bay Terminal,Mannion Bay Wharf,24.4,30.64,30.64,33.64,20.0,0,None
7,4,Cormorant,4,Mannion Bay Wharf,Horseshoe Bay Terminal,33.64,41.44,41.44,44.44,20.0,12,Snug Cove
8,5,Cormorant,5,Horseshoe Bay Terminal,Mannion Bay Wharf,44.44,50.68,50.68,53.68,20.0,0,None
9,6,Cormorant,6,Mannion Bay Wharf,Horseshoe Bay Terminal,53.68,61.480000000000004,61.480000000000004,64.48,20.0,12,Snug Cove
10,7,Cormorant,7,Horseshoe Bay Terminal,Mannion Bay Wharf,64.48,70.72,70.72,73.72,20.0,0,None
11,8,Cormorant,8,Mannion Bay Wharf,Horseshoe Bay Terminal,73.72,81.52,81.52,84.52,20.0,12,Snug Cove
12,9,Cormorant,9,Horseshoe Bay Terminal,Mannion Bay Wharf,84.52,90.75999999999999,90.75999999999999,93.75999999999999,20.0,0,None
13,10,Cormorant,10,Mannion Bay Wharf,Horseshoe Bay Terminal,93.75999999999999,101.55999999999999,101.55999999999999,104.55999999999999,20.0,12,Snug Cove
14,11,Cormorant,11,Horseshoe Bay Terminal,Mannion Bay Beach,104.55999999999999,110.79999999999998,110.79999999999998,113.79999999999998,20.0,0,None
15,12,Cormorant,12,Mannion Bay Beach,Horseshoe Bay Terminal,113.79999999999998,121.59999999999998,121.59999999999998,124.59999999999998,20.0,12,Snug Cove
16,13,Cormorant,13,Horseshoe Bay Terminal,Mannion Bay Beach,124.59999999999998,130.83999999999997,130.83999999999997,133.83999999999997,20.0,0,None
17,14,Cormorant,14,Mannion Bay Beach,Horseshoe Bay Terminal,133.83999999999997,141.64,141.64,144.64,20.0,12,Snug Cove
18,1,Bowen Arrow,1,Snug Cove Marina,Snug Cove Marina,30.0,30.0,30.0,33.0,25.0,0,None
19,2,Bowen Arrow,2,Snug Cove Marina,Horseshoe Bay Terminal,33.0,41.4,41.4,44.4,20.0,12,Snug Cove
20,3,Bowen Arrow,3,Horseshoe Bay Terminal,Mannion Bay Wharf,44.4,50.64,50.64,53.64,20.0,0,None
21,4,Bowen Arrow,4,Mannion Bay Wharf,Horseshoe Bay Terminal,53.64,61.44,61.44,64.44,20.0,12,Snug Cove
22,5,Bowen Arrow,5,Horseshoe Bay Terminal,Mannion Bay Wharf,64.44,70.67999999999999,70.67999999999999,73.67999999999999,20.0,0,None
23,6,Bowen Arrow,6,Mannion Bay Wharf,Horseshoe Bay Terminal,73.67999999999999,81.47999999999999,81.47999999999999,84.47999999999999,20.0,12,Snug Cove
24,7,Bowen Arrow,7,Horseshoe Bay Terminal,Mannion Bay Wharf,84.47999999999999,90.71999999999998,90.71999999999998,93.71999999999998,20.0,0,None
25,8,Bowen Arrow,8,Mannion Bay Wharf,Horseshoe Bay Terminal,93.71999999999998,101.51999999999998,101.51999999999998,104.51999999999998,20.0,12,Snug Cove
26,9,Bowen Arrow,9,Horseshoe Bay Terminal,Mannion Bay Wharf,104.51999999999998,110.75999999999998,110.75999999999998,113.75999999999998,20.0,0,None
27,10,Bowen Arrow,10,Mannion Bay Wharf,Horseshoe Bay Terminal,113.75999999999998,121.55999999999997,121.55999999999997,124.55999999999997,20.0,12,Snug Cove
28,11,Bowen Arrow,11,Horseshoe Bay Terminal,Mannion Bay Wharf,124.55999999999997,130.79999999999998,130.79999999999998,133.79999999999998,20.0,0,None
29,12,Bowen Arrow,12,Mannion Bay Wharf,Horseshoe Bay Terminal,133.79999999999998,141.6,141.6,144.6,20.0,12,Snug Cove
30,1,Apodaca,1,Snug Cove Marina,Snug Cove Marina,10.0,10.0,10.0,15.0,25.0,0,None
31,2,Apodaca,2,Snug Cove Marina,Horseshoe Bay Terminal,15.0,23.4,23.4,28.4,20.0,38,Snug Cove
32,3,Apodaca,3,Horseshoe Bay Terminal,Mannion Bay Wharf,28.4,34.64,34.64,39.64,20.0,0,None
33,4,Apodaca,4,Mannion Bay Wharf,Horseshoe Bay Terminal,39.64,47.44,47.44,52.44,20.0,38,Snug Cove
34,5,Apodaca,5,Horseshoe Bay Terminal,Mannion Bay Wharf,52.44,58.68,58.68,63.68,20.0,0,None
35,6,Apodaca,6,Mannion Bay Wharf,Horseshoe Bay Terminal,63.68,71.48,71.48,76.48,20.0,38,Snug Cove
36,7,Apodaca,7,Horseshoe Bay Terminal,Mannion Bay Wharf,76.48,82.72,82.72,87.72,20.0,0,None
37,8,Apodaca,8,Mannion Bay Wharf,Horseshoe Bay Terminal,87.72,95.52,95.52,100.52,20.0,38,Snug Cove
38,9,Apodaca,9,Horseshoe Bay Terminal,Mannion Bay Wharf,100.52,106.75999999999999,106.75999999999999,111.75999999999999,20.0,0,None
39,10,Apodaca,10,Mannion Bay Wharf,Horseshoe Bay Terminal,111.75999999999999,119.55999999999999,119.55999999999999,124.55999999999999,20.0,38,Snug Cove
40,1,Kinbasket Queen,1,Snug Cove Marina,Snug Cove Marina,30.0,30.0,30.0,35.0,17.0,0,None
