,segment_id,resource_id,route_segment_id,origin,destination,route_start_time,route_end_time,load_start_time,load_end_time,resource_speed,evacuees,evacuated_location
0,1,Cormorant,1,Snug Cove Marina,Tunstall Bay Dock,10.0,29.92,29.92,32.92,25.0,0,None
1,2,Cormorant,2,Tunstall Bay Dock,Keats Island Eastbourne Wharf,32.92,41.620000000000005,41.620000000000005,44.620000000000005,20.0,12,Tunstall Bay
2,3,Cormorant,3,Keats Island Eastbourne Wharf,Bowen Bay Marina,44.620000000000005,50.14,50.14,53.14,20.0,0,None
3,4,Cormorant,4,Bowen Bay Marina,Keats Island Eastbourne Wharf,53.14,60.04,60.04,63.04,20.0,12,Bowen Bay
4,5,Cormorant,5,Keats Island Eastbourne Wharf,Bowen Bay Marina,63.04,68.56,68.56,71.56,20.0,0,None
5,6,Cormorant,6,Bowen Bay Marina,Keats Island Eastbourne Wharf,71.56,78.46000000000001,78.46000000000001,81.46000000000001,20.0,12,Bowen Bay
6,7,Cormorant,7,Keats Island Eastbourne Wharf,Bowen Bay Marina,81.46000000000001,86.98,86.98,89.98,20.0,0,None
7,8,Cormorant,8,Bowen Bay Marina,Keats Island Eastbourne Wharf,89.98,96.88000000000001,96.88000000000001,99.88000000000001,20.0,12,Bowen Bay
8,9,Cormorant,9,Keats Island Eastbourne Wharf,Bowen Bay Beach,99.88000000000001,105.4,105.4,108.4,20.0,0,None
9,10,Cormorant,10,Bowen Bay Beach,Keats Island Eastbourne Wharf,108.4,115.30000000000001,115.30000000000001,118.30000000000001,20.0,12,Bowen Bay
10,11,Cormorant,11,Keats Island Eastbourne Wharf,Bowen Bay Marina,118.30000000000001,123.82000000000001,123.82000000000001,126.82000000000001,20.0,0,None
11,12,Cormorant,12,Bowen Bay Marina,Keats Island Eastbourne Wharf,126.82000000000001,133.72,133.72,136.72,20.0,12,Bowen Bay
12,13,Cormorant,13,Keats Island Eastbourne Wharf,Bowen Bay Beach,136.72,142.24,142.24,145.24,20.0,0,None
13,14,Cormorant,14,Bowen Bay Beach,Keats Island Eastbourne Wharf,145.24,152.14000000000001,152.14000000000001,155.14000000000001,20.0,12,Bowen Bay
14,15,Cormorant,15,Keats Island Eastbourne Wharf,Bowen Bay Beach,155.14000000000001,160.66000000000003,160.66000000000003,163.66000000000003,20.0,0,None
15,16,Cormorant,16,Bowen Bay Beach,Keats Island Eastbourne Wharf,163.66000000000003,170.56000000000003,170.56000000000003,173.56000000000003,20.0,12,Bowen Bay
16,17,Cormorant,17,Keats Island Eastbourne Wharf,Bowen Bay Beach,173.56000000000003,179.08000000000004,179.08000000000004,182.08000000000004,20.0,0,None
17,18,Cormorant,18,Bowen Bay Beach,Keats Island Eastbourne Wharf,182.08000000000004,188.98000000000005,188.98000000000005,191.98000000000005,20.0,12,Bowen Bay
18,19,Cormorant,19,Keats Island Eastbourne Wharf,Bowen Bay Beach,191.98000000000005,197.50000000000006,197.50000000000006,200.50000000000006,20.0,0,None
